« id	category	type	priority	tema	temasSecundarios	banderas	porQue »
MX#192	maintenance	claim	high	agua		dato_faltante	Fuga activa sin localizar, con daño en curso. Reclamo de servicio, no de persona.
MX#1918	maintenance	claim	medium	agua	obra_mantenimiento		Reporta humedades que pueden estar empeorando y pide revisarlas. Reportar manda sobre pedir (árbol, paso 1).
MX#3993	maintenance	claim	low	agua	obra_mantenimiento		El bota-aguas y el seguro del domo están rotos; pedir la reparación es la consecuencia, no el acto.
MX#6064	pqrs	petition	medium	agua		dato_faltante	Pregunta por la hora de restablecimiento. Es el dato que el corpus dice que más falta.
MX#3025	pqrs	suggestion	high	agua		dato_faltante	Propone pipas y avisa que pueden quedar sin agua hasta el lunes. Servicio esencial caído.
MX#3053	pqrs	suggestion	medium	agua			Propone una solución operativa concreta y advierte de un riesgo a los hidroneumáticos.
MX#3104	pqrs	suggestion	low	agua	convivencia_ruido		Recomendación técnica para futuras ocasiones. No pide nada inmediato.
MX#5113	pqrs	other	low	agua	obra_mantenimiento		Explicación técnica de la causa. No pide ni reclama: es aporte de contexto.
MX#2979	maintenance	petition	medium	agua	limpieza_basura		Pide coordinar para que no falte agua el domingo. Petición preventiva.
MX#604	billing	petition	low	cuotas_pagos			Pide un dato administrativo. Petición pura de información.
MX#1198	pqrs	suggestion	low	cuotas_pagos	asamblea_administracion		Propone un canal de comunicación distinto. Mejora del servicio: sugerencia.
MX#1999	billing	petition	low	cuotas_pagos			Pide el estado de la cuota extraordinaria.
MX#4927	billing	other	low	cuotas_pagos	obra_mantenimiento		Envío de comprobante. No pide ni reclama: es el flujo que DOC-001 quiere leer.
MX#6003	pqrs	complaint	low	cuotas_pagos			Se queja de la conducta de otros vecinos que no mandan comprobante. Persona, no servicio.
MX#2195	billing	claim	medium	cuotas_pagos	limpieza_basura		Reclama un cobro duplicado. Irregularidad de un servicio facturado.
MX#6562	billing	claim	medium	cuotas_pagos	asamblea_administracion	enfado	Reclama el criterio de cuota e invoca la ley y a la PROSOC. Tono de exigencia.
MX#4324	pqrs	claim	low	cuotas_pagos	obra_mantenimiento		El correo publicado no existe. Irregularidad del canal, no conducta de nadie.
MX#2148	billing	petition	low	cuotas_pagos	elevadores	sin_contexto	Pregunta a qué se refiere una cuota. Sin el mensaje previo no se sabe cuál.
MX#7087	pqrs	petition	low	asamblea_administracion			Pide los acuerdos de asamblea. Petición de documentación.
MX#3536	pqrs	complaint	medium	asamblea_administracion			Reprocha que la administración no responda. El objeto es su actuar: queja.
MX#6287	pqrs	complaint	medium	asamblea_administracion			«El administrador no atiende» es exactamente conducta de una persona.
MX#3467	pqrs	complaint	medium	asamblea_administracion		enfado	Atribuye el hecho a la falta de orden de la administración, con testigos.
MX#106	maintenance	claim	medium	obra_mantenimiento			Se solicitó en enero y no se hizo; reclama el incumplimiento, no a una persona.
MX#1336	maintenance	claim	medium	obra_mantenimiento	luz_electricidad accesos_estacionamiento		Foco fundido hace meses y menciona que ya pagó. Reclamo de servicio no prestado.
MX#4604	pqrs	petition	low	obra_mantenimiento			Pregunta el tiempo estimado de una reparación anunciada.
MX#6258	maintenance	claim	high	obra_mantenimiento	seguridad_porteria		Fuga activa con daño inminente al techo. Reporta el fallo y pide el remedio: reportar manda.
MX#6010	pqrs	petition	low	obra_mantenimiento			Pide una recomendación. Que el destinatario sean los vecinos y no la administración no cambia el acto.
MX#76	maintenance	claim	medium	elevadores	luz_electricidad	multi_tema	Reporta dos fallas distintas en un mensaje: foco y salto del elevador.
MX#257	maintenance	claim	medium	elevadores			Reporte de falla persistente del elevador. Reclamo de servicio.
MX#1777	maintenance	claim	low	elevadores	convivencia_ruido		Ruido al abrir y cerrar puertas. Molestia, no riesgo.
MX#2272	pqrs	petition	medium	elevadores		dato_faltante	Pregunta hasta qué hora estará fuera de servicio. Falta la duración.
MX#6036	maintenance	claim	medium	elevadores	obra_mantenimiento		Se hizo el mantenimiento y el defecto sigue. Reclamo de trabajo mal ejecutado.
MX#5504	pqrs	claim	low	elevadores	obra_mantenimiento		El patrón de fallos tras cada mantenimiento es desempeño del proveedor como servicio, no conducta de alguien.
MX#2021	pqrs	petition	low	elevadores	cuotas_pagos	dato_faltante	Pide precisar alcance y monto de un aviso incompleto.
MX#78	pqrs	complaint	medium	seguridad_porteria	accesos_estacionamiento		La conducta de los conductores que obstruyen la salida es el objeto; pedir apoyo a vigilancia es el remedio.
MX#2481	pqrs	claim	medium	seguridad_porteria			«Dejan pasar a cualquiera» es el desempeño del servicio de vigilancia, no una persona señalada. Recurrente: mañana estará igual, no peor.
MX#3959	pqrs	petition	low	seguridad_porteria			Consulta por un paquete que no ha llegado a caseta.
MX#734	pqrs	suggestion	low	seguridad_porteria	obra_mantenimiento		Propone dejar la carpeta de gastos en caseta para consulta de condóminos.
MX#658	pqrs	complaint	medium	seguridad_porteria	asamblea_administracion		Se queja de la permanencia del vigilante y pide atención. Conducta de una persona.
MX#4689	maintenance	claim	high	seguridad_porteria			Posible olor a quemado sin causa localizada. Riesgo a personas.
MX#2724	pqrs	petition	medium	convivencia_ruido	seguridad_porteria		Pide acceso a departamentos para localizar el origen de un ruido.
MX#3161	maintenance	claim	medium	luz_electricidad	accesos_estacionamiento	multi_tema	Reporta dos cosas opuestas: una luz siempre encendida y una zona a oscuras.
MX#3587	maintenance	claim	medium	luz_electricidad			Sin luz en un piso desde el sábado. Servicio caído en área común.
MX#1887	maintenance	claim	medium	luz_electricidad	accesos_estacionamiento		Tres luces apagadas en la rampa de acceso vehicular.
MX#3317	pqrs	petition	medium	luz_electricidad			Pregunta si alguien ya reportó a la compañía eléctrica. Coordinación vecinal.
MX#1470	maintenance	claim	low	luz_electricidad	accesos_estacionamiento		Falta foco y sensor en un cajón concreto.
MX#3441	pqrs	complaint	medium	convivencia_ruido			Se queja de la conducta de los inquilinos de un departamento e invoca el reglamento.
MX#3821	pqrs	complaint	medium	convivencia_ruido	seguridad_porteria		No baja el volumen y desatiende al vigilante. Conducta de una persona.
MX#4053	pqrs	complaint	low	convivencia_ruido	seguridad_porteria		El objeto es la conducta de los dueños de las mascotas; las multas son el remedio pedido.
MX#5523	maintenance	claim	low	convivencia_ruido	accesos_estacionamiento		El portón hace ruido al cerrar. Defecto de un equipo.
MX#5796	pqrs	suggestion	low	convivencia_ruido	asamblea_administracion		Propone un comunicado oficial con el teléfono de caseta.
MX#4848	pqrs	suggestion	low	convivencia_ruido	seguridad_porteria		Pide consideración con el sueño de los vecinos y propone llamar en vez de claxon.
MX#4759	maintenance	claim	medium	amenidades	obra_mantenimiento luz_electricidad convivencia_ruido	multi_tema	Tres reclamos en un mensaje: jardinería, cubierta rota y focos.
MX#764	maintenance	claim	medium	amenidades			La caldera de la alberca está por debajo de su temperatura normal.
MX#2841	pqrs	complaint	low	amenidades			Reprocha que no cierren la alberca después de usarla. Conducta de vecinos.
MX#2335	pqrs	other	low	amenidades			Aviso de uso de la alberca. Es notificación, no petición.
MX#4700	pqrs	other	low	amenidades			Aviso de uso de la alberca al grupo.
MX#5041	pqrs	complaint	medium	accesos_estacionamiento			Alguien dejó su camioneta en el cajón ajeno: conducta de una persona, no una avería.
MX#5457	pqrs	complaint	medium	accesos_estacionamiento	asamblea_administracion limpieza_basura		Alguien puso tubos que estorban y es reincidente: conducta de vecinos.
MX#2037	pqrs	complaint	medium	accesos_estacionamiento	elevadores		Los dueños de los autos que exceden su límite son el objeto: conducta, no equipo.
MX#4841	pqrs	suggestion	low	accesos_estacionamiento	seguridad_porteria		Propone controles de acceso individuales y pide cotizarlo.
MX#3983	maintenance	claim	high	accesos_estacionamiento			El portón se quedó abierto. Seguridad del edificio comprometida.
MX#730	pqrs	claim	medium	limpieza_basura	elevadores accesos_estacionamiento		Basura que dificulta la maniobra de estacionamiento de tres vehículos.
MX#1389	pqrs	complaint	low	limpieza_basura			Reprocha a los vecinos el mal uso del contenedor. Conducta, no servicio.
MX#3847	pqrs	complaint	low	limpieza_basura			Pide que tiren la basura en su lugar estando el contenedor vacío.
MX#5380	pqrs	complaint	low	limpieza_basura			«Nuevamente tiran la basura fuera del bote»: conducta reincidente de vecinos.
MX#194	pqrs	suggestion	low	limpieza_basura	elevadores		Propone un letrero e instruir al personal de limpieza.
MX#4291	pqrs	suggestion	low	limpieza_basura	asamblea_administracion		Propone sustituir 200 fotos por un resumen escrito. Mejora del servicio.
MX#86	pqrs	suggestion	low	seguridad_porteria		sin_contexto	Pregunta corta: sin los dos mensajes previos no se sabe de qué acciones habla.
MX#1351	billing	petition	low	cuotas_pagos		sin_contexto	Pide confirmar dos importes de un aviso previo del administrador.
MX#1912	maintenance	petition	medium	agua		sin_contexto	Pregunta corta dirigida a una persona por su nombre; el asunto viene de antes.
MX#2842	pqrs	petition	low	amenidades	seguridad_porteria	sin_contexto	Pregunta por la regla de cierre de la alberca a raíz del mensaje anterior.
MX#3019	maintenance	claim	high	agua		sin_contexto	«Sigo sin agua, así estamos todos?» — servicio esencial caído, alcance por confirmar.
MX#3308	maintenance	petition	medium	luz_electricidad		sin_contexto	Hipótesis sobre el origen del corte. Solo se entiende con el hilo.
MX#3726	billing	petition	low	cuotas_pagos		sin_contexto	Pregunta si ya cuentan como deudores. Sin contexto no se sabe de qué mes.
MX#5370	pqrs	petition	low	asamblea_administracion	obra_mantenimiento	sin_contexto	Pregunta si continúan unos trabajos anunciados antes.
MX#5597	pqrs	petition	low	asamblea_administracion		sin_contexto	«¿Algo se avanzó de su lado?» — inclasificable en prioridad sin el hilo.
MX#5923	maintenance	petition	medium	luz_electricidad		sin_contexto	Pregunta si a otros también se les fue la luz. Sondeo de alcance.
MX#4450	pqrs	petition	medium	agua		sin_contexto	Pregunta si la fuga es de área común, que es lo que decide quién paga.
MX#2871	pqrs	petition	low	asamblea_administracion		sin_contexto	«Hoy hay asamblea??????» — petición de información, urgencia baja.
MX#6372	pqrs	petition	low	amenidades		sin_contexto	Pregunta si ya se puede usar la alberca tras algún cierre previo.
MX#1306	pqrs	petition	low	asamblea_administracion		sin_contexto	Pregunta si el administrador sigue en el condominio.
MX#2133	maintenance	petition	medium	agua		sin_contexto	Pregunta si revisaron unas humedades. Seguimiento de un reporte anterior.
MX#6235	pqrs	petition	low	accesos_estacionamiento		sin_contexto	Pide prestado un cajón. Petición entre vecinos: el eje mide el acto, no el destinatario.
EC#50	maintenance	claim	high	elevadores			El ascensor no baja y solo suena. En un edificio de un solo ascensor es servicio esencial.
